Gene	Description	GeneSeurat	GeneDescription	Chromosome	PosStart	PosEnd	Strand	GeneDescription2
PBANKA_0100100	fam-a protein	PBANKA-0100100	PBANKA_0100100 - fam-a protein	PbANKA_01_v3	26371	27916	+	fam-a protein - PBANKA_0100100
PBANKA_0938800	conserved Plasmodium protein, unknown function	PBANKA-0938800	PBANKA_0938800 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	1388739	1391212	-	conserved Plasmodium protein, unknown function - PBANKA_0938800
PBANKA_1121100	radical SAM protein, putative	PBANKA-1121100	PBANKA_1121100 - radical SAM protein, putative	PbANKA_11_v3	785381	787735	-	radical SAM protein, putative - PBANKA_1121100
PBANKA_0302400	5'-3' exonuclease, putative	PBANKA-0302400	PBANKA_0302400 - 5'-3' exonuclease, putative	PbANKA_03_v3	76581	79532	-	5'-3' exonuclease, putative - PBANKA_0302400
PBANKA_0216081	PIR protein, pseudogene	PBANKA-0216081	PBANKA_0216081 - PIR protein, pseudogene	PbANKA_02_v3	599663	600724	-	PIR protein, pseudogene - PBANKA_0216081
PBANKA_1363400	conserved Plasmodium protein, unknown function	PBANKA-1363400	PBANKA_1363400 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	2408966	2409837	+	conserved Plasmodium protein, unknown function - PBANKA_1363400
PBANKA_1414900	SAS6-like protein	PBANKA-1414900	PBANKA_1414900 - SAS6-like protein	PbANKA_14_v3	599686	601243	+	SAS6-like protein - PBANKA_1414900
PBANKA_0813600	conserved Plasmodium protein, unknown function	PBANKA-0813600	PBANKA_0813600 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	594451	597601	+	conserved Plasmodium protein, unknown function - PBANKA_0813600
PBANKA_0941500	40S ribosomal protein S4, putative	PBANKA-0941500	PBANKA_0941500 - 40S ribosomal protein S4, putative	PbANKA_09_v3	1499958	1501019	+	40S ribosomal protein S4, putative - PBANKA_0941500
PBANKA_0721300	protein transport protein GOT1, putative	PBANKA-0721300	PBANKA_0721300 - protein transport protein GOT1, putative	PbANKA_07_v3	775555	775965	+	protein transport protein GOT1, putative - PBANKA_0721300
PBANKA_0408800	conserved Plasmodium protein, unknown function	PBANKA-0408800	PBANKA_0408800 - conserved Plasmodium protein, unknown function	PbANKA_04_v3	323904	324233	+	conserved Plasmodium protein, unknown function - PBANKA_0408800
PBANKA_1425700	conserved Plasmodium protein, unknown function	PBANKA-1425700	PBANKA_1425700 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	987087	988631	+	conserved Plasmodium protein, unknown function - PBANKA_1425700
PBANKA_1430100	geranylgeranyl transferase type-2 subunit beta, putative	PBANKA-1430100	PBANKA_1430100 - geranylgeranyl transferase type-2 subunit beta, putative	PbANKA_14_v3	1160815	1162583	-	geranylgeranyl transferase type-2 subunit beta, putative - PBANKA_1430100
PBANKA_1222800	tyrosine--tRNA ligase, putative	PBANKA-1222800	PBANKA_1222800 - tyrosine--tRNA ligase, putative	PbANKA_12_v3	867300	868670	-	tyrosine--tRNA ligase, putative - PBANKA_1222800
PBANKA_1011900	H/ACA ribonucleoprotein complex subunit 3, putative	PBANKA-1011900	PBANKA_1011900 - H/ACA ribonucleoprotein complex subunit 3, putative	PbANKA_10_v3	556097	556504	+	H/ACA ribonucleoprotein complex subunit 3, putative - PBANKA_1011900
PBANKA_1443000	NIMA related kinase 1, putative	PBANKA-1443000	PBANKA_1443000 - NIMA related kinase 1, putative	PbANKA_14_v3	1640245	1643115	+	NIMA related kinase 1, putative - PBANKA_1443000
PBANKA_0720900	MOLO1 domain-containing protein, putative	PBANKA-0720900	PBANKA_0720900 - MOLO1 domain-containing protein, putative	PbANKA_07_v3	764675	766449	+	MOLO1 domain-containing protein, putative - PBANKA_0720900
PBANKA_API00180	30S ribosomal protein S2, putative	PBANKA-API00180	PBANKA_API00180 - 30S ribosomal protein S2, putative	PbANKA_API_v3	19957	20637	+	30S ribosomal protein S2, putative - PBANKA_API00180
PBANKA_1308700	conserved protein, unknown function	PBANKA-1308700	PBANKA_1308700 - conserved protein, unknown function	PbANKA_13_v3	419821	420369	+	conserved protein, unknown function - PBANKA_1308700
PBANKA_0903600	dynamin-like protein, putative	PBANKA-0903600	PBANKA_0903600 - dynamin-like protein, putative	PbANKA_09_v3	130352	133246	+	dynamin-like protein, putative - PBANKA_0903600
PBANKA_1221600	cell division cycle ATPase, putative	PBANKA-1221600	PBANKA_1221600 - cell division cycle ATPase, putative	PbANKA_12_v3	827462	830830	-	cell division cycle ATPase, putative - PBANKA_1221600
PBANKA_0616800	actin-related protein, putative	PBANKA-0616800	PBANKA_0616800 - actin-related protein, putative	PbANKA_06_v3	715236	717953	+	actin-related protein, putative - PBANKA_0616800
PBANKA_1352200	conserved Plasmodium protein, unknown function	PBANKA-1352200	PBANKA_1352200 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1985909	1988038	+	conserved Plasmodium protein, unknown function - PBANKA_1352200
PBANKA_1023300	cleavage and polyadenylation specificity factor subunit 4, putative	PBANKA-1023300	PBANKA_1023300 - cleavage and polyadenylation specificity factor subunit 4, putative	PbANKA_10_v3	933336	935090	+	cleavage and polyadenylation specificity factor subunit 4, putative - PBANKA_1023300
PBANKA_1309400	RNA-binding protein, putative	PBANKA-1309400	PBANKA_1309400 - RNA-binding protein, putative	PbANKA_13_v3	440067	442156	+	RNA-binding protein, putative - PBANKA_1309400
PBANKA_0620700	conserved Plasmodium protein, unknown function	PBANKA-0620700	PBANKA_0620700 - conserved Plasmodium protein, unknown function	PbANKA_06_v3	827241	828643	+	conserved Plasmodium protein, unknown function - PBANKA_0620700
PBANKA_1209400	inner membrane complex sub-compartment protein 1	PBANKA-1209400	PBANKA_1209400 - inner membrane complex sub-compartment protein 1	PbANKA_12_v3	357627	358632	-	inner membrane complex sub-compartment protein 1 - PBANKA_1209400
PBANKA_1311100	mitochondrial ribosomal protein S14 precursor, putative	PBANKA-1311100	PBANKA_1311100 - mitochondrial ribosomal protein S14 precursor, putative	PbANKA_13_v3	498511	499123	+	mitochondrial ribosomal protein S14 precursor, putative - PBANKA_1311100
PBANKA_0802000	conserved Plasmodium protein, unknown function	PBANKA-0802000	PBANKA_0802000 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	113003	119143	+	conserved Plasmodium protein, unknown function - PBANKA_0802000
PBANKA_1417100	conserved Plasmodium protein, unknown function	PBANKA-1417100	PBANKA_1417100 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	680186	681910	+	conserved Plasmodium protein, unknown function - PBANKA_1417100
PBANKA_0112721	fam-a protein, pseudogene	PBANKA-0112721	PBANKA_0112721 - fam-a protein, pseudogene	PbANKA_01_v3	513815	515305	-	fam-a protein, pseudogene - PBANKA_0112721
PBANKA_0915700	50S ribosomal protein L2, putative	PBANKA-0915700	PBANKA_0915700 - 50S ribosomal protein L2, putative	PbANKA_09_v3	594650	595654	-	50S ribosomal protein L2, putative - PBANKA_0915700
PBANKA_1028100	mRNA-capping enzyme subunit alpha, putative	PBANKA-1028100	PBANKA_1028100 - mRNA-capping enzyme subunit alpha, putative	PbANKA_10_v3	1144564	1145949	-	mRNA-capping enzyme subunit alpha, putative - PBANKA_1028100
PBANKA_1239800	zinc finger protein, putative	PBANKA-1239800	PBANKA_1239800 - zinc finger protein, putative	PbANKA_12_v3	1524900	1526843	+	zinc finger protein, putative - PBANKA_1239800
PBANKA_1333300	conserved Plasmodium protein, unknown function	PBANKA-1333300	PBANKA_1333300 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	1342680	1349371	+	conserved Plasmodium protein, unknown function - PBANKA_1333300
PBANKA_1010900	protein kinase, putative	PBANKA-1010900	PBANKA_1010900 - protein kinase, putative	PbANKA_10_v3	497612	503464	-	protein kinase, putative - PBANKA_1010900
PBANKA_1225200	N-acetyltransferase, GNAT family, putative	PBANKA-1225200	PBANKA_1225200 - N-acetyltransferase, GNAT family, putative	PbANKA_12_v3	954743	955907	+	N-acetyltransferase, GNAT family, putative - PBANKA_1225200
PBANKA_1022200	DIX domain-containing protein, putative	PBANKA-1022200	PBANKA_1022200 - DIX domain-containing protein, putative	PbANKA_10_v3	897530	898528	+	DIX domain-containing protein, putative - PBANKA_1022200
PBANKA_0304900	serine repeat antigen 3	PBANKA-0304900	PBANKA_0304900 - serine repeat antigen 3	PbANKA_03_v3	158235	161950	-	serine repeat antigen 3 - PBANKA_0304900
PBANKA_1421261	tRNA Serine	PBANKA-1421261	PBANKA_1421261 - tRNA Serine	PbANKA_14_v3	849126	849207	-	tRNA Serine - PBANKA_1421261
PBANKA_1466000	PIR protein	PBANKA-1466000	PBANKA_1466000 - PIR protein	PbANKA_14_v3	2515857	2516993	+	PIR protein - PBANKA_1466000
PBANKA_1103300	myosin B	PBANKA-1103300	PBANKA_1103300 - myosin B	PbANKA_11_v3	142035	145382	-	myosin B - PBANKA_1103300
PBANKA_0703300	conserved Plasmodium protein, unknown function	PBANKA-0703300	PBANKA_0703300 - conserved Plasmodium protein, unknown function	PbANKA_07_v3	164531	165172	-	conserved Plasmodium protein, unknown function - PBANKA_0703300
PBANKA_1435600	debranching enzyme-associated ribonuclease, putative	PBANKA-1435600	PBANKA_1435600 - debranching enzyme-associated ribonuclease, putative	PbANKA_14_v3	1344577	1345989	+	debranching enzyme-associated ribonuclease, putative - PBANKA_1435600
PBANKA_1410900	translation initiation factor IF-2, putative	PBANKA-1410900	PBANKA_1410900 - translation initiation factor IF-2, putative	PbANKA_14_v3	454004	457234	+	translation initiation factor IF-2, putative - PBANKA_1410900
PBANKA_MIT00300	unspecified product	PBANKA-MIT00300	PBANKA_MIT00300 - unspecified product	PbANKA_MIT_v3	69	124	+	unspecified product - PBANKA_MIT00300
PBANKA_1448700	bromodomain protein, putative	PBANKA-1448700	PBANKA_1448700 - bromodomain protein, putative	PbANKA_14_v3	1878841	1888284	+	bromodomain protein, putative - PBANKA_1448700
PBANKA_1300031	fam-b protein	PBANKA-1300031	PBANKA_1300031 - fam-b protein	PbANKA_13_v3	9608	10509	-	fam-b protein - PBANKA_1300031
PBANKA_1219100	inner membrane complex protein 1d	PBANKA-1219100	PBANKA_1219100 - inner membrane complex protein 1d	PbANKA_12_v3	734873	735785	-	inner membrane complex protein 1d - PBANKA_1219100
PBANKA_0926500	peptidase M16, putative	PBANKA-0926500	PBANKA_0926500 - peptidase M16, putative	PbANKA_09_v3	981583	986517	+	peptidase M16, putative - PBANKA_0926500
PBANKA_0830200	high molecular weight rhoptry protein 2	PBANKA-0830200	PBANKA_0830200 - high molecular weight rhoptry protein 2	PbANKA_08_v3	1145085	1149997	+	high molecular weight rhoptry protein 2 - PBANKA_0830200
PBANKA_1218100	oocyst capsule protein Cap380	PBANKA-1218100	PBANKA_1218100 - oocyst capsule protein Cap380	PbANKA_12_v3	692456	702070	+	oocyst capsule protein Cap380 - PBANKA_1218100
PBANKA_0703700	ATP-dependent RNA helicase DBP10, putative	PBANKA-0703700	PBANKA_0703700 - ATP-dependent RNA helicase DBP10, putative	PbANKA_07_v3	175716	178931	+	ATP-dependent RNA helicase DBP10, putative - PBANKA_0703700
PBANKA_1422400	importin subunit beta, putative	PBANKA-1422400	PBANKA_1422400 - importin subunit beta, putative	PbANKA_14_v3	877570	880203	-	importin subunit beta, putative - PBANKA_1422400
PBANKA_0501700	phosphomannomutase, putative	PBANKA-0501700	PBANKA_0501700 - phosphomannomutase, putative	PbANKA_05_v3	65922	67621	-	phosphomannomutase, putative - PBANKA_0501700
PBANKA_1033400	aldo-keto reductase, putative	PBANKA-1033400	PBANKA_1033400 - aldo-keto reductase, putative	PbANKA_10_v3	1349301	1352585	-	aldo-keto reductase, putative - PBANKA_1033400
PBANKA_1012800	voltage-dependent anion-selective channel protein, putative	PBANKA-1012800	PBANKA_1012800 - voltage-dependent anion-selective channel protein, putative	PbANKA_10_v3	590112	592038	-	voltage-dependent anion-selective channel protein, putative - PBANKA_1012800
PBANKA_1145761	tRNA Glycine	PBANKA-1145761	PBANKA_1145761 - tRNA Glycine	PbANKA_11_v3	1712161	1712231	+	tRNA Glycine - PBANKA_1145761
PBANKA_1012000	SF-assemblin, putative	PBANKA-1012000	PBANKA_1012000 - SF-assemblin, putative	PbANKA_10_v3	557718	558628	+	SF-assemblin, putative - PBANKA_1012000
PBANKA_0911650	U2 spliceosomal RNA	PBANKA-0911650	PBANKA_0911650 - U2 spliceosomal RNA	PbANKA_09_v3	432075	432274	+	U2 spliceosomal RNA - PBANKA_0911650
PBANKA_1306600	conserved Plasmodium protein, unknown function	PBANKA-1306600	PBANKA_1306600 - conserved Plasmodium protein, unknown function	PbANKA_13_v3	322605	329041	+	conserved Plasmodium protein, unknown function - PBANKA_1306600
PBANKA_1006900	methyltransferase, putative	PBANKA-1006900	PBANKA_1006900 - methyltransferase, putative	PbANKA_10_v3	334726	337800	-	methyltransferase, putative - PBANKA_1006900
PBANKA_1455200	ATP-dependent RNA helicase DBP9, putative	PBANKA-1455200	PBANKA_1455200 - ATP-dependent RNA helicase DBP9, putative	PbANKA_14_v3	2142109	2144688	-	ATP-dependent RNA helicase DBP9, putative - PBANKA_1455200
PBANKA_MIT00700	unspecified product	PBANKA-MIT00700	PBANKA_MIT00700 - unspecified product	PbANKA_MIT_v3	387	503	-	unspecified product - PBANKA_MIT00700
PBANKA_0921200	conserved Plasmodium protein, unknown function	PBANKA-0921200	PBANKA_0921200 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	776152	776534	-	conserved Plasmodium protein, unknown function - PBANKA_0921200
PBANKA_0600091	fam-c protein	PBANKA-0600091	PBANKA_0600091 - fam-c protein	PbANKA_06_v3	50516	50918	-	fam-c protein - PBANKA_0600091
PBANKA_1400800	protein UIS3	PBANKA-1400800	PBANKA_1400800 - protein UIS3	PbANKA_14_v3	86185	86838	-	protein UIS3 - PBANKA_1400800
PBANKA_1306000	replication factor A protein 3, putative	PBANKA-1306000	PBANKA_1306000 - replication factor A protein 3, putative	PbANKA_13_v3	292068	292920	-	replication factor A protein 3, putative - PBANKA_1306000
PBANKA_0938200	conserved Plasmodium protein, unknown function	PBANKA-0938200	PBANKA_0938200 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	1372408	1373099	-	conserved Plasmodium protein, unknown function - PBANKA_0938200
PBANKA_1346800	Qa-SNARE protein, putative	PBANKA-1346800	PBANKA_1346800 - Qa-SNARE protein, putative	PbANKA_13_v3	1825868	1827226	-	Qa-SNARE protein, putative - PBANKA_1346800
PBANKA_1214400	conserved Plasmodium protein, unknown function	PBANKA-1214400	PBANKA_1214400 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	547794	549299	+	conserved Plasmodium protein, unknown function - PBANKA_1214400
PBANKA_1109600	conserved Plasmodium protein, unknown function	PBANKA-1109600	PBANKA_1109600 - conserved Plasmodium protein, unknown function	PbANKA_11_v3	375478	378530	+	conserved Plasmodium protein, unknown function - PBANKA_1109600
PBANKA_1346200	signal peptidase complex catalytic subunit SEC11, putative	PBANKA-1346200	PBANKA_1346200 - signal peptidase complex catalytic subunit SEC11, putative	PbANKA_13_v3	1811864	1812666	+	signal peptidase complex catalytic subunit SEC11, putative - PBANKA_1346200
PBANKA_1123900	sphingomyelin synthase 1, putative	PBANKA-1123900	PBANKA_1123900 - sphingomyelin synthase 1, putative	PbANKA_11_v3	890151	891775	+	sphingomyelin synthase 1, putative - PBANKA_1123900
PBANKA_1006300	perforin-like protein 1	PBANKA-1006300	PBANKA_1006300 - perforin-like protein 1	PbANKA_10_v3	312525	316059	-	perforin-like protein 1 - PBANKA_1006300
PBANKA_1242800	eukaryotic translation initiation factor 3 subunit E, putative	PBANKA-1242800	PBANKA_1242800 - eukaryotic translation initiation factor 3 subunit E, putative	PbANKA_12_v3	1618656	1620411	-	eukaryotic translation initiation factor 3 subunit E, putative - PBANKA_1242800
PBANKA_0925800	conserved Plasmodium protein, unknown function	PBANKA-0925800	PBANKA_0925800 - conserved Plasmodium protein, unknown function	PbANKA_09_v3	954265	959397	-	conserved Plasmodium protein, unknown function - PBANKA_0925800
PBANKA_1420000	GPCR-like receptor SR25, putative	PBANKA-1420000	PBANKA_1420000 - GPCR-like receptor SR25, putative	PbANKA_14_v3	797028	798406	+	GPCR-like receptor SR25, putative - PBANKA_1420000
PBANKA_0212700	RING zinc finger protein, putative	PBANKA-0212700	PBANKA_0212700 - RING zinc finger protein, putative	PbANKA_02_v3	469835	475726	+	RING zinc finger protein, putative - PBANKA_0212700
PBANKA_0606000	RNA-binding protein, putative	PBANKA-0606000	PBANKA_0606000 - RNA-binding protein, putative	PbANKA_06_v3	300127	300954	+	RNA-binding protein, putative - PBANKA_0606000
PBANKA_1024351	5S ribosomal RNA	PBANKA-1024351	PBANKA_1024351 - 5S ribosomal RNA	PbANKA_10_v3	977145	977263	-	5S ribosomal RNA - PBANKA_1024351
PBANKA_0216021	fam-b protein	PBANKA-0216021	PBANKA_0216021 - fam-b protein	PbANKA_02_v3	591354	592130	-	fam-b protein - PBANKA_0216021
PBANKA_0209800	conserved protein, unknown function	PBANKA-0209800	PBANKA_0209800 - conserved protein, unknown function	PbANKA_02_v3	346406	348634	+	conserved protein, unknown function - PBANKA_0209800
PBANKA_1351700	LMBR1 domain-containing protein, putative	PBANKA-1351700	PBANKA_1351700 - LMBR1 domain-containing protein, putative	PbANKA_13_v3	1969601	1973333	+	LMBR1 domain-containing protein, putative - PBANKA_1351700
PBANKA_0621500	Rab GTPase activator and protein kinase, putative	PBANKA-0621500	PBANKA_0621500 - Rab GTPase activator and protein kinase, putative	PbANKA_06_v3	855765	860684	+	Rab GTPase activator and protein kinase, putative - PBANKA_0621500
PBANKA_0800041	fam-a protein, pseudogene	PBANKA-0800041	PBANKA_0800041 - fam-a protein, pseudogene	PbANKA_08_v3	7108	8724	+	fam-a protein, pseudogene - PBANKA_0800041
PBANKA_1336300	GTPase-activating protein, putative	PBANKA-1336300	PBANKA_1336300 - GTPase-activating protein, putative	PbANKA_13_v3	1435868	1437867	-	GTPase-activating protein, putative - PBANKA_1336300
PBANKA_1229200	60S ribosomal protein L19, putative	PBANKA-1229200	PBANKA_1229200 - 60S ribosomal protein L19, putative	PbANKA_12_v3	1136286	1137332	-	60S ribosomal protein L19, putative - PBANKA_1229200
PBANKA_1427600	conserved Plasmodium protein, unknown function	PBANKA-1427600	PBANKA_1427600 - conserved Plasmodium protein, unknown function	PbANKA_14_v3	1060277	1064153	+	conserved Plasmodium protein, unknown function - PBANKA_1427600
PBANKA_1011600	chromatin assembly factor 1 P55 subunit, putative	PBANKA-1011600	PBANKA_1011600 - chromatin assembly factor 1 P55 subunit, putative	PbANKA_10_v3	545257	547014	-	chromatin assembly factor 1 P55 subunit, putative - PBANKA_1011600
PBANKA_0516900	S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative	PBANKA-0516900	PBANKA_0516900 - S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative	PbANKA_05_v3	621343	625554	-	S-adenosylmethionine decarboxylase/ornithine decarboxylase, putative - PBANKA_0516900
PBANKA_0902400	kinesin-like protein, putative	PBANKA-0902400	PBANKA_0902400 - kinesin-like protein, putative	PbANKA_09_v3	92559	95806	+	kinesin-like protein, putative - PBANKA_0902400
PBANKA_0406300	DNA polymerase delta small subunit, putative	PBANKA-0406300	PBANKA_0406300 - DNA polymerase delta small subunit, putative	PbANKA_04_v3	231953	233386	+	DNA polymerase delta small subunit, putative - PBANKA_0406300
PBANKA_1420600	histone H2B variant, putative	PBANKA-1420600	PBANKA_1420600 - histone H2B variant, putative	PbANKA_14_v3	824499	824870	-	histone H2B variant, putative - PBANKA_1420600
PBANKA_0515500	protein phosphatase inhibitor 3, putative	PBANKA-0515500	PBANKA_0515500 - protein phosphatase inhibitor 3, putative	PbANKA_05_v3	581042	581859	+	protein phosphatase inhibitor 3, putative - PBANKA_0515500
PBANKA_1216300	conserved Plasmodium protein, unknown function	PBANKA-1216300	PBANKA_1216300 - conserved Plasmodium protein, unknown function	PbANKA_12_v3	613553	617878	+	conserved Plasmodium protein, unknown function - PBANKA_1216300
PBANKA_0800700	conserved Plasmodium protein, unknown function	PBANKA-0800700	PBANKA_0800700 - conserved Plasmodium protein, unknown function	PbANKA_08_v3	36744	41738	+	conserved Plasmodium protein, unknown function - PBANKA_0800700
PBANKA_0601300	peptidyl-prolyl cis-trans isomerase, putative	PBANKA-0601300	PBANKA_0601300 - peptidyl-prolyl cis-trans isomerase, putative	PbANKA_06_v3	131309	132868	-	peptidyl-prolyl cis-trans isomerase, putative - PBANKA_0601300
PBANKA_0609900	heat shock protein DNAJ homologue Pfj4, putative	PBANKA-0609900	PBANKA_0609900 - heat shock protein DNAJ homologue Pfj4, putative	PbANKA_06_v3	448184	449389	+	heat shock protein DNAJ homologue Pfj4, putative - PBANKA_0609900
PBANKA_0317061	fam-a protein	PBANKA-0317061	PBANKA_0317061 - fam-a protein	PbANKA_03_v3	635300	636780	-	fam-a protein - PBANKA_0317061
PBANKA_1015500	AP2 domain transcription factor AP2-O3	PBANKA-1015500	PBANKA_1015500 - AP2 domain transcription factor AP2-O3	PbANKA_10_v3	677715	680060	+	AP2 domain transcription factor AP2-O3 - PBANKA_1015500
